39.570,-0.299,0.270,-0.683,0.295,0.146,0.267,-0.372,-0.157,-0.739,-1.030,-0.223,-0.044,-0.243,-0.752
39.389,-0.306,0.320,-0.554,0.374,0.232,0.221,-0.443,-0.163,-0.728,-1.015,-0.304,-0.104,-0.197,-0.765
39.558,-0.384,0.291,-0.603,0.222,0.291,0.342,-0.395,-0.075,-0.823,-0.980,-0.210,0.009,-0.169,-0.753
39.534,-0.664,0.438,-0.588,0.179,0.374,0.398,-0.321,-0.301,-0.687,-0.860,-0.146,-0.027,-0.172,-0.861
39.405,-0.264,0.501,-0.706,0.169,0.186,0.280,-0.463,-0.015,-0.654,-1.043,-0.174,-0.133,-0.322,-0.934
39.306,-0.380,0.505,-0.686,0.100,0.060,0.331,-0.510,0.055,-0.728,-1.113,-0.147,-0.178,-0.301,-0.949
39.728,-0.434,0.699,-0.625,0.189,0.217,0.419,-0.180,-0.113,-0.986,-0.829,-0.226,-0.094,-0.053,-0.813
39.596,-0.589,0.458,-0.541,0.394,0.321,0.331,-0.598,-0.142,-0.703,-1.227,-0.321,-0.243,-0.119,-0.954
39.631,-0.763,0.427,-0.524,0.271,0.316,0.342,-0.443,-0.102,-0.674,-1.178,-0.339,-0.151,-0.056,-0.814
39.371,-0.684,0.564,-0.562,0.144,0.077,0.405,-0.507,0.003,-0.777,-0.990,-0.217,-0.102,-0.092,-0.771
39.561,-0.631,0.421,-0.607,0.250,0.224,0.353,-0.517,-0.180,-0.817,-1.068,-0.258,-0.248,-0.086,-0.888
39.494,-0.744,0.621,-0.520,0.285,-0.024,0.351,-0.468,-0.094,-0.721,-0.942,-0.335,-0.289,-0.088,-0.783
39.498,-0.589,0.486,-0.528,0.047,0.283,0.374,-0.409,-0.081,-0.684,-1.105,-0.167,-0.215,-0.165,-0.824
39.552,-0.823,0.572,-0.502,0.139,0.130,0.385,-0.460,-0.104,-0.669,-0.948,-0.207,-0.305,-0.121,-0.772
39.529,-0.657,0.646,-0.574,0.117,0.176,0.438,-0.483,-0.153,-0.526,-1.007,-0.299,-0.354,-0.116,-0.830
39.581,-0.735,0.461,-0.637,0.138,0.220,0.380,-0.479,-0.163,-0.806,-0.985,-0.136,-0.202,-0.054,-0.847
39.411,-0.688,0.562,-0.479,0.063,0.289,0.404,-0.527,-0.126,-0.689,-1.043,-0.145,-0.291,-0.166,-0.808
