0.113,0.113,0.089,0.039,-0.033,0.035,-0.011,-0.012,-0.091,-0.033,-0.081,0.022,-0.037,-0.065,-0.083
0.492,-0.080,-0.033,-0.218,-0.029,0.038,0.160,-0.086,0.124,0.085,0.007,0.047,-0.245,-0.274,-0.034
0.636,0.293,-0.052,-0.006,0.216,-0.011,-0.040,-0.186,0.054,-0.026,0.121,-0.007,0.083,-0.203,0.385
1.254,-0.586,0.180,-0.149,0.257,-0.201,0.488,0.077,-0.327,0.074,-0.067,-0.036,-0.045,-0.080,-0.157
1.269,-0.552,0.617,-0.116,0.006,-0.517,0.360,-0.340,-0.097,-0.118,0.024,0.332,0.676,-0.166,-0.081
1.299,0.444,0.315,-0.017,0.241,-0.278,0.098,0.249,0.162,0.431,-0.023,-0.184,-0.307,-0.845,0.070
1.202,-0.141,0.400,-0.384,-0.114,-0.181,-0.021,-0.509,-0.189,-0.077,0.349,0.216,0.345,-0.009,0.416
1.607,0.290,0.711,0.082,0.000,-0.086,-0.488,-0.654,-0.599,0.176,-0.098,-0.097,-0.206,-0.049,-0.022
1.692,-0.328,0.815,0.112,-0.358,-0.059,-0.049,-0.034,-0.234,-0.327,-0.124,0.197,0.384,0.096,-0.376
2.207,-0.086,0.667,0.270,-0.849,0.159,0.043,-0.440,-0.546,-0.304,-0.256,0.215,-0.156,0.075,-0.712
2.207,-0.086,0.667,0.270,-0.849,0.159,0.043,-0.440,-0.546,-0.304,-0.256,0.215,-0.156,0.075,-0.712
2.218,0.351,0.254,-0.018,-0.563,0.406,-0.318,-0.519,-0.352,-0.615,0.617,-0.178,-0.355,0.181,-0.567
2.256,-0.117,1.000,0.340,-0.445,0.295,-0.260,-0.935,-0.639,-0.464,-0.361,-0.007,-0.437,0.333,-0.504
2.587,-0.570,0.983,0.421,-0.758,0.222,0.003,-0.839,-1.018,-0.813,-0.003,0.249,-0.073,0.566,-0.301
2.434,-0.233,0.366,0.444,-0.820,0.353,0.010,-0.655,-0.828,-0.405,-0.222,0.124,-0.368,0.165,0.104
