0.280,-0.155,-0.055,0.207,-0.133,0.047,-0.037,0.177,-0.083,0.198,0.380,0.088,-0.219,0.019,0.232
0.347,-0.243,0.193,0.175,-0.053,0.047,0.055,0.060,-0.200,0.012,-0.013,0.031,0.054,0.172,-0.097
0.293,0.007,-0.071,0.072,-0.072,-0.296,-0.082,0.244,-0.008,0.181,0.197,0.105,-0.057,-0.067,0.026
1.240,-0.417,-0.574,0.042,-0.536,-0.231,-0.242,0.208,0.129,0.322,0.643,0.134,-0.052,-0.053,-0.040
0.746,0.053,-0.111,-0.036,0.719,0.258,-0.442,0.048,-0.030,0.056,-0.156,-0.258,-0.180,0.051,-0.057
2.025,-0.396,-0.091,0.186,-0.137,0.631,-0.259,0.013,-0.399,0.073,0.214,0.049,-0.544,0.143,0.742
1.201,-0.152,-0.037,0.341,-0.108,0.231,-0.356,0.139,-0.466,0.577,0.004,0.032,-0.725,-0.121,0.050
1.984,-0.274,0.108,-0.465,0.093,-0.303,-0.832,0.736,-0.216,0.353,-0.121,-0.033,0.061,0.427,-0.490
2.579,-0.526,-0.321,-0.010,0.067,0.062,-0.633,0.795,-0.270,-0.134,-0.684,-0.255,0.249,0.425,-0.168
2.579,-0.526,-0.321,-0.010,0.067,0.062,-0.633,0.795,-0.270,-0.134,-0.684,-0.255,0.249,0.425,-0.168
2.488,0.192,-0.433,-0.001,-0.236,-0.257,-1.081,0.402,-0.697,-0.219,-0.675,0.202,0.938,0.463,-0.392
3.483,-0.119,-0.325,-0.261,-0.169,0.256,-1.070,0.690,-0.750,0.343,-0.683,0.294,0.457,0.365,-0.478
3.551,-0.199,-0.250,0.307,0.081,0.299,-1.232,0.377,-0.504,-0.417,-0.210,-0.036,0.751,1.032,-0.325
3.721,0.305,-0.979,0.491,-0.120,0.025,-1.490,0.559,-1.270,0.162,-0.545,0.240,0.620,0.311,-0.314
3.963,-0.215,-0.471,0.090,-0.257,-0.159,-1.376,0.926,-0.673,0.435,-1.186,0.225,1.064,0.446,-0.278
4.661,-0.111,-0.002,0.120,-0.009,-0.256,-1.333,1.235,-1.343,0.393,-0.815,0.124,0.786,0.507,-0.805
4.563,-0.024,-0.504,0.582,-0.150,-0.369,-1.183,0.203,-1.548,0.425,0.052,0.096,0.820,0.951,-0.196
4.488,-0.072,0.193,0.050,-0.052,-0.418,-1.172,0.450,-1.296,0.354,-0.737,0.400,0.799,0.573,-0.692
4.101,0.049,0.019,-0.242,0.492,-0.282,-1.339,0.786,-0.792,0.177,-0.272,0.241,0.835,0.604,-0.560
4.153,-0.004,0.156,0.385,-0.047,0.246,-1.119,0.698,-0.764,0.298,-0.737,-0.082,1.161,0.302,-0.464
